id,chain,rating
nt-12990,"Step 1: The athlete has not finished in a competition in the past ten years. Therefore, the answer is none.",0
nt-13822,"Step 1: India is a country with a total of 197 medals. India has 102 medals, 58 medals, 37 medals, 197 medals, and 197 medals. Nepal has 62 medals, and Sri Lanka has 62 medals. Bhutan has 76 medals, and Bhutan has 76 medals. Bhutan has 0 medals, and Bhutan has 0 medals.",0
nt-13871,"Step 1: Yehuda Tamir | ""Na'ara"" | 43 | 4th (tie) 2 Shlishiyat Adama | ""La ve'li"" | 17 | 10th (tie) 3 Miri Aloni | ""Kmo ha'emuna"" | 26 | 8th 4 Moti Giladi and Sarai Tzuriel | ""Yavo Yom"" | 66 | 1st 5 Boaz Sharabi | ""Halevai"" | 56 | 2nd 7 Rita",0
nt-13950,Step 1: Identify the country that won the gold medal. Identify the country that won the silver medal. Identify the country that won the bronze medal. Identify the country that won the bronze medal. Identify the country that won the bronze medal. Identify the country that won the silver medal. Identify the country that won the bronze medal. Identify the country that won the bronze medal. Identify the country that won the silver medal. Identify the country that won the bronze medal. Identify the country that won the bronze medal. Identify the country that won the bronze medal. Identify the country that,0
nu-0,Step 1: The country with the most cyclists finish within the top 10 is France. Answer: France,1
nu-169,"Step 1: The round has a total of 1 circuit. Therefore, the total number of circuits is 1 circuit. Answer: 1 circuit",1
nu-288,"Step 1: Identify the location of the church. Then, select the church name. Yttery, Ytterya, sen, sen, Ytterya, sen, Ytterya, sen, Ytterya, sen, Ytterya, sen, Ytterya, sen, Ytterya, sen, Yttery",0
nu-387,"Step 1: The original season premiered on October 6, 2000, and the finale on May 17, 2001. Therefore, the answer is 23.",0
nu-443,"The West Indies were ranked in the top 100 in the world in the year 2000. The West Indies were ranked in the top 100 in the world in the year 2000. Therefore, the answer is 2000.",0
nu-550,Step 1: The number of schools with a number higher than 600 in 2008 is 552,0
nu-638,Step 1: The net capacity of Chernobyl-1 is 740 MWe. The net capacity of Chernobyl-2 is 740 MWe. The net capacity of Chernobyl-3 is 740 MWe. The net capacity of Chernobyl-4 is 740 MWe. The net capacity of Chernobyl-5 is 740 MWe. The net capacity of Chernobyl-6 is 740 MWe. The net capacity of Chernobyl-5 is 740 MWe. The net capacity of Chern,0
nu-913,Tigray has the highest number of nurses.,0
nu-1050,"The total number of rounds roush racing won was 87. Therefore, the answer is 87.",0
nu-1808,"Step 1: Identify the two candidates who were re-elected in 2008: Diana DeGette, George Lilly, Mark Udall, Jared Polis, Scott Starin, and Wayne Wolf. Identify the three candidates who were re-elected in 2008: John Salazar, Wayne Wolf, and Marilyn Musgrave. Identify the three candidates who were re-elected in 2008: John Salazar, Wayne Wolf, and Wayne Wolf. Identify the three candidates who were re-elected in 2008: John Salazar, Wayne Wolf, and Wayne Wolf. Identify the three candidates who were",0
nu-1942,"Step 1: The Michigan Wolverines won the NCAA Men's Hockey Tournament in 1964. Therefore, the answer is 1964.",0
nu-2177,Answer: no,1
nu-2985,"The first COL Erasmus M. Weaver, Jr. was a Chief of the United States Army. The second COL Erasmus M. Weaver, Jr. was a Chief of the United States Army. The third COL Erasmus M. Weaver, Jr. was a Chief of the United States Army. The fourth COL Erasmus M. Weaver, Jr. was a Chief of the United States Army. The fifth COL Erasmus M. Weaver, Jr. was a Chief of the United States Army. The sixth COL Erasmus M. Weaver, Jr.",0
nu-3268,"The relevant sentence in the passage is: Chemical Kid | Hadru Jamik | Phlon | First appeared in Legion of Super-Heroes vol. 6, #6 (December 2010) as a student at the Legion Academy. Therefore, the final answer is Hadru Jamik.",0
nu-3420,"The total number of rooms at the Novant Health is 531 rooms. The total number of rooms at the Novant Health is 574 rooms. Therefore, the answer is 574.",0
nu-3870,"The total number of stages is 4 stages. The total number of stages is 4 stages. Therefore, the answer is 4.",0
nu-3881,"Step 1: The total number of goals scored by Aloisi is 1 + 4 + 5 + 1 + 3 = 9 players. Therefore, the answer is 9.",0
nu-4018,The team won 118 games during this season. Answer: 118,1
nu-4343,"Step 1: In 2007, Leona Lewis won a total of 66 awards. In 2009, she won 66 awards. Therefore, the answer is 66.",0
